num,category,method_name,description,output_pattern,procedure_file
174,grounding,Semantic Diff Analysis,When source changes compute semantic diff and identify which doc sections need update - proactive staleness prevention,source diff → semantic analysis → affected docs → update queue,methods/method-procedures/174_Semantic_Diff_Analysis.md
175,grounding,Grounding Confidence Score,Weighted composite: existence (30%) + completeness (25%) + freshness (25%) + similarity (20%) = single grounding metric,checks → weights → composite score → confidence level,methods/method-procedures/175_Grounding_Confidence_Score.md
176,epistemology,Tarski Level Separation,Check if verification operates at proper meta-level - artifacts verified using only their own content = level confusion,artifact → verification source → level check → separation verdict,methods/method-procedures/176_Tarski_Level_Separation.md
177,epistemology,Münchhausen Audit,Identify what serves as axiom (unquestioned ground truth) in verification chain - make explicit and evaluate fitness,verification chain → axiom identification → appropriateness check,methods/method-procedures/177_Munchhausen_Audit.md
178,epistemology,Map-Territory Confusion Detector,Scan for language patterns suggesting map-territory confusion: the system IS X vs the system DOES X,text → pattern scan → confusion markers → rewrite suggestions,methods/method-procedures/178_Map_Territory_Confusion_Detector.md
179,synthesis,Synthesis Question Formulation,Articulate the specific question the synthesis must answer. "What do we know about X?" is too vague. A good synthesis question constrains the scope while enabling genuine integration.,synthesis_question:,methods/method-procedures/179_Synthesis_Question_Formulation.md
180,synthesis,Level-of-Analysis Selection,Explicitly choose the level of abstraction for synthesis. Different levels produce different (and potentially contradictory) conclusions. This prevents Simpson's Paradox - ecological fallacy - and ato,level_selection:,methods/method-procedures/180_Level_of_Analysis_Selection.md
181,synthesis,Source Landscape Mapping,Before gathering sources - map the LANDSCAPE of available knowledge. What types of sources exist? Where are the gaps? This prevents the Streetlight Effect (searching only where convenient).,source_landscape:,methods/method-procedures/181_Source_Landscape_Mapping.md
182,synthesis,Systematic Source Collection,Structured gathering of sources that covers the landscape mapped in 003. Ensures no major source type is missed and includes dissenting sources.,sources:,methods/method-procedures/182_Systematic_Source_Collection.md
183,synthesis,Source Quality Assessment,Not all sources are equal. Assess quality to weight contributions appropriately during synthesis. Poor-quality sources given equal weight distort synthesis.,source_quality:,methods/method-procedures/183_Source_Quality_Assessment.md
184,synthesis,Diversity Verification,Verify that the source set is genuinely diverse — not just many sources saying the same thing from the same perspective. Diversity enables triangulation and reduces bias.,diversity_map:,methods/method-procedures/184_Diversity_Verification.md
185,synthesis,Tacit Knowledge Elicitation,Surface knowledge that exists in people's heads but isn't documented. Often the most valuable synthesis input — and the hardest to access.,tacit_knowledge:,methods/method-procedures/185_Tacit_Knowledge_Elicitation.md
186,synthesis,Counter-Source Search,Actively seek sources that DISAGREE with the emerging direction. Confirmation bias makes us stop searching once we find agreement. This method forces continuing until disagreement is found.,counter_sources:,methods/method-procedures/186_Counter_Source_Search.md
187,synthesis,Atomic Claim Extraction,Extract individual - independent claims from each source. Each claim should be testable or evaluable on its own. This is the foundation for relationship mapping and integration.,claims:,methods/method-procedures/187_Atomic_Claim_Extraction.md
188,synthesis,Concept Taxonomy Building,Identify all distinct CONCEPTS used across sources and build a shared vocabulary. Different sources often use different terms for the same concept - or same terms for different concepts.,taxonomy:,methods/method-procedures/188_Concept_Taxonomy_Building.md
189,synthesis,Model Inventory,Identify all MODELS - FRAMEWORKS - and THEORIES used by different sources. Sources don't just present facts — they use models to organize and interpret facts. The model shapes what's visible and what',models:,methods/method-procedures/189_Model_Inventory.md
190,synthesis,Evidence Grading,Assess the STRENGTH of evidence behind each claim. Not all evidence is equal — a controlled experiment provides stronger evidence than an anecdote. Evidence grading determines how much weight each cla,evidence_grades:,methods/method-procedures/190_Evidence_Grading.md
191,synthesis,Assumption Surfacing,Make EXPLICIT the implicit assumptions that each source carries. Assumptions are the hidden load-bearing elements — when they break - everything built on them collapses. Diverging assumptions are ofte,assumptions:,methods/method-procedures/191_Assumption_Surfacing.md
192,synthesis,Knowledge Gap Identification,Identify what the source set DOESN'T cover — the negative space. Gaps in knowledge are as important as the knowledge itself for synthesis. A synthesis that doesn't acknowledge its gaps creates dangero,knowledge_gaps:,methods/method-procedures/192_Knowledge_Gap_Identification.md
193,synthesis,Convergence-Divergence Mapping,For every pair of claims: do they agree - disagree - or address different aspects? This mapping reveals the relationship structure between knowledge atoms — the foundation for integration.,relationships:,methods/method-procedures/193_Convergence_Divergence_Mapping.md
194,synthesis,Dialectical Tension Mapping,Identify thesis-antithesis pairs — positions that are in productive tension. These are the raw material for Hegelian synthesis. Contradiction is not a problem to eliminate — it is the ENGINE of synthe,tensions:,methods/method-procedures/194_Dialectical_Tension_Mapping.md
195,synthesis,Analogical Structure Mapping (Gentner),Find structural parallels between different domains in the source set. Surface features may differ but RELATIONAL STRUCTURE may be identical — enabling powerful cross-domain transfer of solutions and ,analogies:,methods/method-procedures/195_Analogical_Structure_Mapping.md
196,synthesis,Conceptual Blend Construction (Fauconnier-Turner),Deliberately blend concepts from different input spaces to generate emergent insights that exist in neither space alone. The blend is not just A+B — it produces C that neither A nor B contains.,blends:,methods/method-procedures/196_Conceptual_Blend_Construction.md
197,synthesis,Causal Chain Reconciliation,Different sources may present different causal explanations for the same phenomenon. Reconcile into a unified causal model — or explain why they diverge. Understanding causal structure is essential fo,causal_analysis:,methods/method-procedures/197_Causal_Chain_Reconciliation.md
198,synthesis,Pattern Detection Across Sources,Look for recurring patterns that appear across multiple sources - even if the sources don't recognize the pattern. The pattern may only be visible from the synthesis viewpoint — this is where genuine ,patterns:,methods/method-procedures/198_Pattern_Detection_Across_Sources.md
199,synthesis,Level Alignment Check,Ensure that when combining claims from different sources - they're operating at the SAME level of analysis. Mixing levels produces invalid synthesis and is a source of major logical fallacies.,level_checks:,methods/method-procedures/199_Level_Alignment_Check.md
200,synthesis,Gap Significance Analysis,Determine whether knowledge gaps (206) are RANDOM or SYSTEMATIC. Systematic gaps reveal blind spots in the field itself — and are themselves a synthesis finding. What no one studies or discusses is of,gap_analysis:,methods/method-procedures/200_Gap_Significance_Analysis.md
201,synthesis,Dialectical Integration,For each dialectical tension (302) - construct a genuine synthesis that preserves valid elements of both thesis and antithesis while transcending their contradiction. This is the CORE synthesis operat,syntheses:,methods/method-procedures/201_Dialectical_Integration.md
202,synthesis,Framework Unification,When multiple sources use different models/frameworks (203) - build a UNIFIED framework that incorporates the valid elements of each. A unified framework provides a more complete lens than any individ,framework_unification:,methods/method-procedures/202_Framework_Unification.md
203,synthesis,Emergence Detection,Look for properties - insights - or patterns that EMERGE from the combination of sources but aren't present in any single source. This is the core test of genuine synthesis — if nothing emerges - it's,emergence_analysis:,methods/method-procedures/203_Emergence_Detection.md
204,synthesis,Abductive Integration,When evidence doesn't fully determine a conclusion - construct the BEST EXPLANATION that accounts for all evidence — the inference to the best explanation. This is the creative core of synthesis - ena,abductive_integration:,methods/method-procedures/204_Abductive_Integration.md
205,synthesis,Knowledge Compression,Compress the synthesis into its MINIMAL representation — the shortest description that captures the essential structure. If your synthesis is as long as your sources - you haven't synthesized.,compressed_synthesis:,methods/method-procedures/205_Knowledge_Compression.md
206,synthesis,Boundary Condition Mapping,Define WHERE the synthesis applies and where it doesn't. Every synthesis has scope limits — making them explicit prevents misapplication and false confidence outside the valid domain.,boundaries:,methods/method-procedures/206_Boundary_Condition_Mapping.md
207,synthesis,Synthesis Coherence Check,Test whether the integrated synthesis is internally consistent. Synthesis that contradicts itself is worse than no synthesis — it creates confusion and undermines trust.,coherence_check:,methods/method-procedures/207_Synthesis_Coherence_Check.md
208,synthesis,Core Insight Distillation,Extract the 3-7 most important insights from the synthesis. These are the findings that CHANGE how someone should think or act. Not everything in the synthesis is equally important — distillation iden,core_insights:,methods/method-procedures/208_Core_Insight_Distillation.md
209,synthesis,Mental Model Design,Construct one or more MENTAL MODELS that capture the synthesis in a form that can be internalized and applied. A good mental model enables someone to make correct predictions in new situations — it's ,mental_models:,methods/method-procedures/209_Mental_Model_Design.md
210,synthesis,Principle Extraction,Derive GENERAL PRINCIPLES from the synthesis — rules that apply beyond the specific context of the sources. Principles are the most durable form of synthesized knowledge — they outlast the specific si,principles:,methods/method-procedures/210_Principle_Extraction.md
211,synthesis,Narrative Construction,Build a coherent STORY from the synthesis. Humans think in narratives — a well-constructed narrative makes synthesis sticky and shareable. But narratives are also dangerous because they can make accid,narrative:,methods/method-procedures/211_Narrative_Construction.md
212,synthesis,Actionability Assessment,For each synthesis output - assess: what should someone DO differently based on this? Synthesis that doesn't lead to different action or understanding is academic. Actionability is the ultimate test o,actionability:,methods/method-procedures/212_Actionability_Assessment.md
213,synthesis,Apophenia Check,Test whether detected patterns (306) are REAL or imposed by the synthesizer's pattern-seeking brain. Humans are pattern-completion machines — we see faces in clouds and causation in coincidence. This ,apophenia_check:,methods/method-procedures/213_Apophenia_Check.md
214,synthesis,Confirmation Bias Audit,Check whether the synthesis selectively weighted evidence that confirms a pre-existing view while downweighting evidence that contradicts it. Confirmation bias is the most insidious threat to synthesi,confirmation_bias_audit:,methods/method-procedures/214_Confirmation_Bias_Audit.md
215,synthesis,Completeness Assessment,Evaluate whether the synthesis adequately covers the synthesis question. Incomplete synthesis is fine — as long as the gaps are acknowledged. Unacknowledged incompleteness is dangerous.,completeness_assessment:,methods/method-procedures/215_Completeness_Assessment.md
216,synthesis,Falsifiability Check (Popper),Verify that the synthesis produces claims that could - in principle - be proven wrong. A synthesis that explains everything and predicts nothing is narrative - not knowledge. Falsifiability is the dem,falsifiability_check:,methods/method-procedures/216_Falsifiability_Check.md
217,synthesis,Source Bias Propagation Check,Assess whether biases in individual sources have propagated into the synthesis. Even quality-assessed sources carry biases — and synthesis can AMPLIFY them if most sources share the same bias.,bias_propagation_check:,methods/method-procedures/217_Source_Bias_Propagation_Check.md
218,synthesis,Novel Information Test (Shannon),Rigorously test whether the synthesis contains GENUINE new information or is merely reorganizing what sources already said. This is the definitive test for distinguishing synthesis from summary.,novelty_test:,methods/method-procedures/218_Novel_Information_Test.md
219,synthesis,Synthesis Decay Monitoring,Synthesis conclusions are not permanent. Define what changes would invalidate the synthesis and require reassessment. A synthesis without decay monitoring becomes dangerously stale.,decay_monitoring:,methods/method-procedures/219_Synthesis_Decay_Monitoring.md
220,feasibility,Cynefin Domain Classification,Determine problem type to select appropriate feasibility assessment method,domain_map:,methods/method-procedures/220_Cynefin_Domain_Classification.md
221,feasibility,Feasibility Question Decomposition,Break monolithic "Is this feasible?" into atomic - independently assessable sub-questions,sub_questions:,methods/method-procedures/221_Feasibility_Question_Decomposition.md
222,feasibility,Feasibility Scope Definition,Explicitly define WHAT is being assessed and WHAT IS NOT,scope:,methods/method-procedures/222_Feasibility_Scope_Definition.md
223,feasibility,Constraint Hardness Spectrum,Classify every constraint from absolutely impossible to merely inconvenient,constraints:,methods/method-procedures/223_Constraint_Hardness_Spectrum.md
224,feasibility,Requisite Variety Audit,Measure whether team/tools/process have enough variety to control problem complexity,variety_audit:,methods/method-procedures/224_Requisite_Variety_Audit.md
225,feasibility,TRIZ Contradiction Detection,Find technical and physical contradictions that signal fundamental design conflicts,contradictions:,methods/method-procedures/225_TRIZ_Contradiction_Detection.md
226,feasibility,Conway Alignment Check,Assess whether required architecture is compatible with organizational structure,conway_check:,methods/method-procedures/226_Conway_Alignment_Check.md
227,feasibility,Regulatory Feasibility Scan,Determine whether the project is LEGALLY PERMITTED,regulatory_scan:,methods/method-procedures/227_Regulatory_Feasibility_Scan.md
228,feasibility,Precedent Existence Check,Has anyone done something substantially similar before?,precedent_check:,methods/method-procedures/228_Precedent_Existence_Check.md
229,feasibility,Technical Feasibility (TRL Analysis),Assess whether required technology exists - works - and works at needed scale,technical_feasibility:,methods/method-procedures/229_Technical_Feasibility_TRL.md
230,feasibility,Resource Feasibility,Assess whether we have the people - money - infrastructure - and tools,resource_feasibility:,methods/method-procedures/230_Resource_Feasibility.md
231,feasibility,Knowledge Feasibility,Assess if the team knows HOW to do this,knowledge_feasibility:,methods/method-procedures/231_Knowledge_Feasibility.md
232,feasibility,Organizational Feasibility,Assess if the organization can execute this,organizational_feasibility:,methods/method-procedures/232_Organizational_Feasibility.md
233,feasibility,Temporal Feasibility,Assess if we can do this in the time available,temporal_feasibility:,methods/method-procedures/233_Temporal_Feasibility.md
234,feasibility,Compositional Feasibility,Assess if individually feasible parts work together as a system,compositional_feasibility:,methods/method-procedures/234_Compositional_Feasibility.md
235,feasibility,Economic Feasibility,Assess if it's WORTH doing (costs vs benefits),economic_feasibility:,methods/method-procedures/235_Economic_Feasibility.md
236,feasibility,Scale Feasibility,Assess if it works at PRODUCTION scale,scale_feasibility:,methods/method-procedures/236_Scale_Feasibility.md
237,feasibility,Cognitive Feasibility,Assess if the team can UNDERSTAND what they're building,cognitive_feasibility:,methods/method-procedures/237_Cognitive_Feasibility.md
238,feasibility,Dependency Feasibility,Assess if external dependencies are available - reliable - and affordable,dependency_feasibility:,methods/method-procedures/238_Dependency_Feasibility.md
239,feasibility,Reference Class Forecasting,Replace inside-view estimates with outside-view base rates,reference_class:,methods/method-procedures/239_Reference_Class_Forecasting.md
240,feasibility,Critical Assumption Testing,Test the assumptions that would kill the project if wrong,critical_assumption_testing:,methods/method-procedures/240_Critical_Assumption_Testing.md
241,feasibility,Probe Design,Design minimal experiments to test feasibility assumptions,probe_design:,methods/method-procedures/241_Probe_Design.md
242,feasibility,Expert Judgment Calibration,Calibrate expert estimates and identify systematic biases,expert_judgment_calibration:,methods/method-procedures/242_Expert_Judgment_Calibration.md
243,feasibility,Analogical Feasibility Transfer,Transfer feasibility insights from similar past projects,analogical_feasibility_transfer:,methods/method-procedures/243_Analogical_Feasibility_Transfer.md
244,feasibility,Integration Spike,Test integration points that have no precedent,integration_spike:,methods/method-procedures/244_Integration_Spike.md
245,feasibility,Multi-Axis Feasibility Profile,Synthesize all dimensions into overall feasibility assessment,multi_axis_feasibility_profile:,methods/method-procedures/245_Multi_Axis_Feasibility_Profile.md
246,feasibility,Confidence-Weighted Decision,Make GO/NO-GO decision accounting for uncertainty,confidence_weighted_decision:,methods/method-procedures/246_Confidence_Weighted_Decision.md
247,feasibility,Conditional Feasibility Map,Map conditions under which feasibility changes,conditional_feasibility_map:,methods/method-procedures/247_Conditional_Feasibility_Map.md
248,feasibility,Feasibility Decay Monitoring,Define how to monitor feasibility post-decision and detect decay,feasibility_decay_monitoring:,methods/method-procedures/248_Feasibility_Decay_Monitoring.md
249,feasibility,Planning Fallacy Detection,Detect and correct for the planning fallacy throughout assessment,planning_fallacy_detection:,methods/method-procedures/249_Planning_Fallacy_Detection.md
250,feasibility,Hofstadter's Law Correction,Apply recursive correction for estimates that already account for delays,hofstadter_correction:,methods/method-procedures/250_Hofstadter_Correction.md
251,feasibility,Confidence Theater Detection,Detect performative confidence that masks uncertainty,confidence_theater_detection:,methods/method-procedures/251_Confidence_Theater_Detection.md
252,feasibility,Dunning-Kruger Dimension Map,Identify dimensions where expertise mismatch creates estimation bias,dunning_kruger_dimension_map:,methods/method-procedures/252_Dunning_Kruger_Dimension_Map.md
253,feasibility,Meta-Feasibility Check,Check that the feasibility assessment itself is valid,meta_feasibility_check:,methods/method-procedures/253_Meta_Feasibility_Check.md
254,risk,Risk Genesis Model,Systematically scan six fundamental sources from which ALL risks originate. Instead of searching for risks ad-hoc - use the genesis model as a generative framework - each source PRODUCES risks with pr,genesis_risks:,methods/method-procedures/254_Risk_Genesis_Model.md
255,risk,Uncertainty Classification,Classify every identified uncertainty into its fundamental type using Knight's distinction. Different types of uncertainty require fundamentally different management strategies - applying the wrong st,classified_uncertainties:,methods/method-procedures/255_Uncertainty_Classification.md
256,risk,System Characterization (Perrow Matrix),Assess the project/system's position on Perrow's two dimensions - complexity and coupling - to determine its inherent accident propensity. This sets expectations: in some systems - accidents are INEVI,system_profile:,methods/method-procedures/256_System_Characterization.md
257,risk,Risk Taxonomy Scan,Systematic sweep across predefined risk categories to ensure no domain is overlooked. The taxonomy forces consideration of categories the team might naturally ignore.,taxonomy_risks:,methods/method-procedures/257_Risk_Taxonomy_Scan.md
258,risk,Failure Mode Enumeration,For each component - decision - or process step - systematically enumerate HOW it can fail. Adapted from FMEA but covering both technical and business contexts.,failure_modes:,methods/method-procedures/258_Failure_Mode_Enumeration.md
259,risk,Threat Modeling (STRIDE+),Structured adversarial analysis - what could a malicious or negligent actor do? Extended beyond traditional security STRIDE to include business and organizational threats.,threats:,methods/method-procedures/259_Threat_Modeling_STRIDE.md
260,risk,Dependency Risk Discovery,Map ALL external dependencies and assess each as a risk source. Dependencies are the 1 blind spot - teams treat them as stable when they're the most volatile risk source.,dependency_risks:,methods/method-procedures/260_Dependency_Risk_Discovery.md
261,risk,Assumption Torture,Graduated stress test of every assumption. Stronger than simple inversion - tests assumptions at increasing levels of wrongness to discover where the breaking point is.,assumption_tests:,methods/method-procedures/261_Assumption_Torture.md
262,risk,Historical Pattern Matching (Survivorship-Corrected),Search for analogies from past projects - industry incidents - and known anti-patterns - while actively correcting for survivorship bias.,pattern_matches:,methods/method-procedures/262_Historical_Pattern_Matching.md
263,risk,Contraposition Failure Guarantee,Instead of asking "what leads to success -" ask "what GUARANTEES failure?" then check if the current plan does any of those things. Based on logical contraposition: if A->B - then NOT-B->NOT-A. Findin,failure_guarantees:,methods/method-procedures/263_Contraposition_Failure_Guarantee.md
264,risk,Boundary Risk Scan,Systematically identify risks that live AT BOUNDARIES between components - teams - phases - or organizations. These risks are invisible to vertical analysis because each side assumes the other handles,boundary_risks:,methods/method-procedures/264_Boundary_Risk_Scan.md
265,risk,Blind Spot Interrogation,Deliberately search for risks the team is psychologically or structurally unable to see. Extended with the Unknown Knowns concept - things the organization knows but denies.,blind_spots:,methods/method-procedures/265_Blind_Spot_Interrogation.md
266,risk,Chaos Probe Design,Design controlled experiments that EMPIRICALLY discover risks by deliberately injecting failures. All other IDENTIFY methods are analytical (thinking about what could go wrong). This is the only metho,chaos_probes:,methods/method-procedures/266_Chaos_Probe_Design.md
267,risk,Temporal Risk Archaeology,Explicitly search for risks created by TIME - erosion - drift - accumulation - decay - and entropy. These risks are invisible in point-in-time analysis because each increment is negligible. Only the a,temporal_risks:,methods/method-procedures/267_Temporal_Risk_Archaeology.md
268,risk,Scenario Planning Matrix,Construct structured scenarios from key uncertainties to identify risks that only emerge in specific futures. Not a single "what could go wrong" but "WHICH WORLD might we be in - and what are the risk,scenario_planning:,methods/method-procedures/268_Scenario_Planning_Matrix.md
269,risk,Five-Dimension Risk Scoring,Score each risk across five dimensions. Single-dimension scoring collapses critical information. P x I is necessary but insufficient - velocity - detectability - and reversibility complete the picture,scored_risks:,methods/method-procedures/269_Five_Dimension_Scoring.md
270,risk,Exposure Window Analysis,Determine WHEN the system is vulnerable to each risk and for how long. Risks are not constant - they have windows of exposure that open and close.,exposure_windows:,methods/method-procedures/270_Exposure_Window_Analysis.md
271,risk,Cost-of-Materialization Estimation,Estimate concrete cost if each risk materializes - forces specificity beyond vague "High impact" labels. Converts abstract severity into actionable numbers.,cost_estimates:,methods/method-procedures/271_Cost_Estimation.md
272,risk,Precedent Probability Calibration,Calibrate probability using base rates from historical data and reference class forecasting. Counteracts optimism bias and planning fallacy.,calibrated_risks:,methods/method-procedures/272_Precedent_Probability_Calibration.md
273,risk,Worst-Case Scenario Construction,For top-tier risks - construct full worst-case narratives. Ensures the team genuinely understands what their scores mean in human terms. Converts abstract "Impact: 5" into concrete consequences.,worst_cases:,methods/method-procedures/273_Worst_Case_Construction.md
274,risk,Ergodicity Test,For each high-impact risk - test whether the standard risk score (Probability × Impact) is meaningful for a single pass through time - or only meaningful for an ensemble of parallel runs.,ergodicity_tests:,methods/method-procedures/274_Ergodicity_Test.md
275,risk,Stability Basin Mapping,Define the system's equilibrium state - then test how large a perturbation it can absorb before falling into a different (worse) equilibrium. Maps the "distance to cliff edge.",stability_basins:,methods/method-procedures/275_Stability_Basin_Mapping.md
276,risk,Risk Cascade Mapping,Trace how one risk materializing triggers or amplifies others. Build directed graphs of risk propagation. Individual risks are manageable - cascades cause catastrophes.,cascades:,methods/method-procedures/276_Risk_Cascade_Mapping.md
277,risk,Risk Correlation Matrix,Identify which risks materialize SIMULTANEOUSLY - not because one causes another (301) but because they share common drivers.,correlation_matrix:,methods/method-procedures/277_Risk_Correlation_Matrix.md
278,risk,Common Mode Failure Detection,Find single points whose failure breaks multiple supposedly independent systems. The most dangerous pattern: N "redundant" things that all depend on one hidden thing.,common_modes:,methods/method-procedures/278_Common_Mode_Failure.md
279,risk,Concentration Risk Detection,Identify excessive dependency on any single entity. Concentration is the meta-risk that amplifies all other risks - when too much depends on one thing - that thing's failure becomes catastrophic.,concentrations:,methods/method-procedures/279_Concentration_Risk_Detection.md
280,risk,Compound Risk Scenarios,Construct realistic scenarios where multiple individually-acceptable risks combine for catastrophic outcomes. Tests the risk PORTFOLIO - not individual risks.,compound_scenarios:,methods/method-procedures/280_Compound_Risk_Scenarios.md
281,risk,Critical Path Severance (Min-Cut Analysis),Model the system as a flow graph and find the minimum cut - the smallest set of elements whose simultaneous failure disconnects the system entirely. Mathematical rigor for finding single points of fai,min_cut_analysis:,methods/method-procedures/281_Critical_Path_Severance.md
282,risk,Risk Interaction Paradoxes,Check for paradoxical interactions where managing one risk CREATES or AMPLIFIES another - the risk management equivalent of Braess Paradox. This is the INTERACT-level version of what 407 (Cobra Effect,paradoxes:,methods/method-procedures/282_Risk_Interaction_Paradoxes.md
283,risk,Four-T Classification,Classify each risk into a response strategy. Forces explicit decision rather than default tolerance. Every risk must have a conscious strategy assignment.,mitigations:,methods/method-procedures/283_Four_T_Classification.md
284,risk,Mitigation Cost-Benefit Analysis,Compare mitigation cost against expected loss. Prevents both under-investment (accepting too much risk) and over-investment (spending more on mitigation than the risk warrants).,cost_benefit:,methods/method-procedures/284_Mitigation_Cost_Benefit.md
285,risk,Defense in Depth Design (Swiss Cheese Validated),For critical risks - design layered defenses where no single layer is sole protection. Validated against Swiss Cheese Model - layers must be INDEPENDENT.,defense_in_depth:,methods/method-procedures/285_Defense_in_Depth.md
286,risk,Graceful Degradation Planning,Design how the system behaves when risks partially materialize. Rather than binary (working/failed) - maintain core value delivery under stress.,degradation_plans:,methods/method-procedures/286_Graceful_Degradation.md
287,risk,Residual Risk Assessment,After designing mitigations - re-score each risk. Residual risk = actual risk carried after mitigations in place. Must be explicitly accepted.,residual_assessments:,methods/method-procedures/287_Residual_Risk_Assessment.md
288,risk,Contingency Trigger Design,For tolerated/residual risks - define precise conditions that trigger escalation. Prevents "boiling frog" - gradual increase unnoticed until crisis.,contingency_triggers:,methods/method-procedures/288_Contingency_Trigger_Design.md
289,risk,Cobra Effect Check,For every proposed mitigation - explicitly check if it creates NEW risks worse than the original. The cure can be worse than the disease - and often is.,cobra_checks:,methods/method-procedures/289_Cobra_Effect_Check.md
290,risk,Regret Minimization Framework,For irreversible decisions under uncertainty - apply regret minimization - project forward and ask which choice you'd regret more. Especially powerful when probability estimates are unreliable (Knight,regret_analysis:,methods/method-procedures/290_Regret_Minimization.md
291,risk,Leading Indicator Identification,For each risk - identify observable signals that PRECEDE materialization. Leading indicators provide early warning - enabling response before full impact.,leading_indicators:,methods/method-procedures/291_Leading_Indicator_Identification.md
292,risk,Risk Review Cadence Design,Design structured review schedule matching velocity and volatility of the risk portfolio. Not all risks need the same review frequency - match cadence to risk characteristics.,review_cadence:,methods/method-procedures/292_Review_Cadence_Design.md
293,risk,Escalation Protocol Design,Define clear escalation paths - who decides what - when - with what authority. Prevents both under-escalation (serious issues not raised) and over-escalation (noise drowning signal).,escalation_protocols:,methods/method-procedures/293_Escalation_Protocol.md
294,risk,Post-Incident Feedback Loop,When a risk materializes (or nearly does) - capture learnings and feed back into IDENTIFY. Closes the loop - incidents improve the risk assessment process.,structured analysis output,methods/method-procedures/294_Post_Incident_Feedback.md
295,risk,Sorites Accumulation Watch,Monitor for gradual - incremental risk accumulation that falls below event-detection thresholds. Each increment is negligible - the accumulated effect is catastrophic. The "boiling frog" detector.,accumulation_watches:,methods/method-procedures/295_Sorites_Accumulation_Watch.md
296,risk,Cognitive Bias Audit,Check the risk assessment itself for known cognitive biases. The assessors have biases - acknowledge and correct for them.,bias_audit:,methods/method-procedures/296_Cognitive_Bias_Audit.md
297,risk,Risk Appetite Calibration,Make explicit how much risk the team/org will accept. More importantly - identify gaps between STATED appetite and REVEALED appetite (what they actually do).,risk_appetite:,methods/method-procedures/297_Risk_Appetite_Calibration.md
298,risk,Portfolio Risk View,Aggregate all risks into portfolio view. Portfolio may be unacceptable even if every individual risk is acceptable. The whole is different from the sum of parts.,portfolio_view:,methods/method-procedures/298_Portfolio_Risk_View.md
299,risk,Risk Communication Framework,Ensure the right view for the right audience. Different stakeholders need different risk presentations - one size does not fit all.,communication_framework:,methods/method-procedures/299_Risk_Communication_Framework.md
300,risk,Simpson's Paradox Audit,Check if aggregate risk metrics hide dangerous subgroup patterns. A portfolio that looks healthy in aggregate may be catastrophic for specific clients - regions - or components.,simpsons_paradox_audit:,methods/method-procedures/300_Simpsons_Paradox_Audit.md
301,risk,Goodhart's Law Check,Audit risk metrics and processes for signs they've become targets rather than measures - at which point they stop being useful.,goodhart_audit:,methods/method-procedures/301_Goodharts_Law_Check.md
302,exploration,Abductive Reasoning,Generate new hypotheses from observations. This is the ONLY type of reasoning that creates new possibilities.,EXPLANANDUM: ___,methods/method-procedures/302_Abductive_Reasoning.md
303,exploration,Counterfactual Thinking,Identify causal factors by asking "what if X didn't exist?",ELEMENT CLASSIFICATION:,methods/method-procedures/303_Counterfactual_Thinking.md
304,exploration,Minimal Assertions,Compress knowledge to the smallest statement that still explains.,MINIMAL ASSERTIONS:,methods/method-procedures/304_Minimal_Assertions.md
305,exploration,Boundary Analysis,Find where things stop working. Boundaries reveal structure.,CLAIM: "[statement]",methods/method-procedures/305_Boundary_Analysis.md
306,exploration,Causal Models,Map influence relationships - not just correlations.,CAUSAL MODEL:,methods/method-procedures/306_Causal_Models.md
307,exploration,Falsification,Test beliefs by trying to disprove them - not confirm them.,BELIEFS TESTED: [count],methods/method-procedures/307_Falsification.md
308,exploration,Information Questions,Identify the highest-value questions - what information would most change decisions.,HIGHEST-VALUE QUESTIONS:,methods/method-procedures/308_Information_Questions.md
309,exploration,Failure Reason Exploration,Transform vague fear into a concrete map of risks. This is NOT pessimism - it's controlled risk exploration.,FAILURE REASON EXPLORATION,methods/method-procedures/309_Failure_Reason_Exploration.md
310,exploration,Reverse Abduction,Discover paths by assuming success and working backwards. This breaks "impossible" thinking.,REVERSE ABDUCTION,methods/method-procedures/310_Reverse_Abduction.md
311,exploration,Cognitive MVP (Minimal Viable Probe),Find the smallest action that teaches you something. Reframe failure as data.,COGNITIVE MVP,methods/method-procedures/311_Cognitive_MVP.md
312,exploration,Control vs Influence Analysis,Separate what you can change from what you can't. Fear often targets the uncontrollable.,CONTROL vs INFLUENCE ANALYSIS,methods/method-procedures/312_Control_Influence_Analysis.md
313,exploration,Fundamental Block Analysis,Find out if there's a true "wall" - one condition that CANNOT be worked around.,FUNDAMENTAL BLOCK ANALYSIS,methods/method-procedures/313_Fundamental_Block_Analysis.md
314,exploration,Contrast Exploration,Learn from others' successes and failures. Locate your space by comparison.,CONTRAST EXPLORATION,methods/method-procedures/314_Contrast_Exploration.md
315,exploration,Growth Test,Filter decisions by whether they develop you. Risk is worthwhile when it builds capability.,GROWTH TEST,methods/method-procedures/315_Growth_Test.md
316,exploration,Dimension Discovery,Identify all axes of choice - the fundamental dimensions of the decision.,DIMENSIONS:,methods/method-procedures/316_Dimension_Discovery.md
317,exploration,Option Enumeration,List ALL options for each dimension - not just obvious ones.,DIMENSION: [name],methods/method-procedures/317_Option_Enumeration.md
318,exploration,Constraint Mapping,Identify what combinations are impossible or difficult.,HARD CONSTRAINTS:,methods/method-procedures/318_Constraint_Mapping.md
